unique_internal_model_code,age_range,filtration_efficiency_percent,breathability_pascals,width_mm,height_mm,filter_type,style,strap_type,color,where_to_buy_url_1,where_to_buy_url_2,where_to_buy_url_3,image_url,filtration_efficiency_source,filtration_efficiency_notes,breatheability_pascals_source,breatheability_pascals_notes
"CocoMong XXS Toddler Mask
[Note this is almost identical in size to U&I Bio, but has printing]",2-5,98.3,134.0,148.0,55.0,KF80,Boat,,,https://kollecteusa.com/collections/cocofarm-megaxxl,,,https://m.media-amazon.com/images/I/71d1Rf482CL._AC_SX679_.jpg,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
The Bio U&I Toddler Mask,2-5,99.3,121.0,150.0,58.0,KF94,Boat,,,https://kollecteusa.com/products/kf94-toddler-kids-mask-youandkids,,,https://www.protectly.co/cdn/shop/files/Ui1_1296x1296@2x.webp?v=1690348314,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
HappyLife Gooday Kids Mask - XSmall,3.5-6,98.5,123.0,158.0,67.0,KF94,Boat,,,https://kollecteusa.com/collections/happylife/products/happy-lifegood-day-kf94-premium-face-mask-kidswhite-2?variant=40698214187157,https://www.everydayemall.com/collections/ppe/products/cute-cartoon-design-kf94-mask-for-kids-made-in-korea-white-kf94-1pcs,,https://kollecteusa.com/cdn/shop/products/MainimageBlackMask_GreenPackage_1494x1494.jpg?v=1627764165,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
Wellbefore Kids KN95 Petite X-Small,2-4,97.4,299.0,67.0,111.0,KN95,Bifold,,,https://wellbefore.com/collections/kids/products/kids-kn95-fda-5-layers-individually-wrapped?variant=19968676626561,,,https://wellbefore.com/cdn/shop/files/6545099980929_2F000_3D_3D_3D_23color_white_570x.webp?v=1706822496,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
SaveWo 3D Mask - Kids Small,3.5-8,99.1,80.0,155.0,68.0,KF94-KN95,Boat,,,http://family-masks.com,https://mikoplace.com/savewo-3d-mask-30pcs-kids-size-s-target-aged-2-6/,https://taiwan-masks.com/collections/savewo,https://www.family-masks.com/cdn/shop/products/3DMEOW-KIDS-S-MASK3_1024x1024@2x.jpg?v=1679810184,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
ProductLabs KF94 - Kids,4-9,99.9,323.0,155.0,68.0,KF94,Boat,,,https://kollecteusa.com/collections/productlab,https://www.projectn95.org/products/product-lab-3d-style-boat-shape-kids-kf94-mask-pink?,,https://kollecteusa.com/cdn/shop/products/KakaoTalk_Image_2022-05-26-09-49-07_1494x1494.jpg?v=1653583943,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
Posh KF94 Kids Mask,4-9,98.6,74.0,165.0,70.0,KF94,Boat,,,https://behealthyusa.net/collections/posh,https://www.everydayemall.com/collections/ppe/products/posh-kf94-mask-for-kids-made-in-korea,,https://behealthyusa.net/cdn/shop/products/POSH_KIDS_KA01.jpg?v=1627409574,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
Kim Well's Kids Mask,4-9,99.6,391.0,153.0,67.0,KF94,Boat,,,https://www.everydayemall.com/collections/kids-mask/products/eightsuper-kf94-mask-for-kids?variant=40788806959255,,,https://www.everydayemall.com/cdn/shop/products/KIMSWEL_1080x.png?v=1631151967,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
Blue Tiger Kids Mask,4-9,99.4,129.0,155.0,70.0,KF94,Boat,,,https://shop.projectn95.org/blue-tiger-childrens-sized-white-3d-fold-kf94-mask/p,https://behealthyusa.net/collections/blue-industry-1/products/blue-kf94-kf80-tiger-3d-masks-small-kid-size,https://www.everydaybeautylab.com/blue-kf94-tiger-3d-masks-small-kid-size-white/,https://behealthyusa.net/cdn/shop/products/BLUE_TIGER_3D_S_WHITE_KF94.jpg?v=1715614244,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
Bluna Kids Mask,4-9,98.8,94.0,160.0,66.0,KF94,Boat,,,https://behealthyusa.net/collections/bluna-1/products/facefit-kf94-white-small-kids,https://kollecteusa.com/collections/blunakf94/products/bluna-kf94-kids,,https://kollecteusa.com/cdn/shop/products/Mainimage_14_64fac663-9908-41be-aa9c-c6aec297cd76_1494x1494.jpg?v=1613714234,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
BOTN Kids Mask,5-9,99.3,135.0,160.0,69.0,KF94,Boat,,,https://behealthyusa.net/products/botn-kf94-small-white,https://kollecteusa.com/collections/botn/products/tia-botn-kf94-kids,,https://m.media-amazon.com/images/I/71BjC-CqwYL._AC_SX679_.jpg,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
BreatheTeq - XS,5-9,99.3,89.0,165.0,69.0,KN95,Boat,,,https://breatheteq.com/,,,https://breatheteq.com/cdn/shop/products/ChildblackbreatheTeqKN95Canadianmask.jpg?v=1668715763,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
Happylife Goodday Adj. Earloop Mask,5-9,99.5,126.0,165.0,63.0,KF94,Boat,,,,,,https://kollecteusa.com/cdn/shop/products/GoodDayMainimageBlack_1494x1494.jpg?v=1643666756,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
Savewo 3D Mask - Kids Large,5-9,99.0,78.0,167.0,72.0,KF94-KN95,Boat,,,http://family-masks.com,https://mikoplace.com/savewo-3d-masks-ultra-30pcs-3d-ultra-astm-level-3-30-made-in-hk/,https://taiwan-masks.com/collections/savewo,https://www.family-masks.com/cdn/shop/products/3DMask-Kids-Large-White-Model1_1024x1024@2x.jpg?v=1659191665,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
Dr. Puri - Small,6-9,99.4,138.0,155.0,68.0,KF94,Boat,,,https://kmact.com/products/dr-puri-kf94-mask-for-adult,,,https://m.media-amazon.com/images/I/61gNyHRaJ-L._AC_SX679_.jpg,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
Wellbefore Kids KN95 Petite Small,6-9,98.3,181.0,75.0,122.0,KN95,Bifold,,,https://wellbefore.com/collections/kids/products/kids-kn95-fda-5-layers-individually-wrapped?variant=19968676626561,,,https://wellbefore.com/cdn/shop/files/6545099980929_2F000_3D_3D_3D_23color_white_570x.webp?v=1706822496,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate."
